File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
1,0.0200,0.0200,-0.2200,-0.0064,-0.0160,1.0016,-29.3000,-252.6000,-204.5000,-0.8075,0.3955,154.9588
2,0.1000,-0.1600,-0.3000,-0.0064,-0.0144,1.0016,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
3,0.0800,0.0000,-0.1600,-0.0072,-0.0144,0.9984,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
4,-0.0200,-0.0400,-0.2000,-0.0080,-0.0144,0.9976,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
5,0.1000,0.1800,-0.2800,-0.0064,-0.0128,0.9952,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
6,-0.1000,0.2400,-0.1800,-0.0080,-0.0136,0.9960,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
7,-0.2000,-0.0400,0.1200,-0.0080,-0.0160,0.9960,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
8,-0.1400,-0.0800,-0.1000,-0.0080,-0.0144,1.0000,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9588
9,-0.1800,0.1200,-0.1000,-0.0064,-0.0160,1.0008,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9643
10,-0.1200,0.0800,-0.0200,-0.0072,-0.0152,0.9976,-29.6000,-253.4000,-204.4000,-0.8075,0.3955,154.9643
11,0.1600,0.2200,0.1400,-0.0096,-0.0144,0.9968,-29.6000,-253.4000,-204.4000,-0.8075,0.4010,154.9643
12,0.0200,0.0800,-0.1800,-0.0072,-0.0136,0.9960,-29.6000,-253.4000,-204.4000,-0.8075,0.4010,154.9643
13,-0.1600,0.1600,-0.1000,-0.0064,-0.0168,0.9952,-29.5000,-253.7000,-204.2000,-0.8075,0.4010,154.9643
14,0.1000,0.0800,-0.1800,-0.0048,-0.0152,0.9944,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9643
15,0.0600,0.1600,-0.0400,-0.0072,-0.0152,0.9904,-29.3000,-254.0000,-204.1000,-0.8075,0.4010,154.9588
16,0.0400,0.2200,-0.1000,-0.0080,-0.0160,0.9880,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9588
17,0.1000,0.2400,-0.1200,-0.0080,-0.0144,0.9880,-29.3000,-254.0000,-204.1000,-0.8075,0.4010,154.9588
18,0.1600,-0.1200,-0.1400,-0.0088,-0.0144,0.9864,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9588
19,0.0600,0.0800,-0.0600,-0.0088,-0.0136,0.9880,-29.3000,-254.0000,-204.1000,-0.8075,0.4010,154.9588
20,0.0200,0.1000,-0.0200,-0.0080,-0.0144,0.9888,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9588
21,0.0000,-0.0600,-0.3600,-0.0080,-0.0152,0.9896,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9588
22,0.1200,0.0800,-0.2200,-0.0088,-0.0152,0.9912,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9533
23,-0.1400,0.2000,-0.2400,-0.0064,-0.0152,0.9920,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9533
24,-0.0400,0.0200,-0.0800,-0.0064,-0.0136,0.9920,-29.3000,-254.1000,-204.1000,-0.8075,0.4010,154.9533
25,0.0400,-0.1400,-0.1000,-0.0072,-0.0136,0.9928,-29.4000,-254.3000,-204.5000,-0.8075,0.4010,154.9533
26,-0.0400,0.0800,-0.2800,-0.0072,-0.0144,0.9944,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
27,0.0800,0.1200,-0.1600,-0.0072,-0.0136,0.9952,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
28,0.1200,0.2200,-0.2600,-0.0072,-0.0136,0.9968,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
29,0.0400,0.0800,-0.2200,-0.0072,-0.0136,0.9976,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
30,0.2200,0.0200,-0.0600,-0.0072,-0.0136,0.9976,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
31,0.1600,-0.0400,-0.1600,-0.0056,-0.0136,0.9976,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
32,0.1400,0.1200,-0.0400,-0.0064,-0.0120,0.9952,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
33,0.0000,-0.1400,-0.3400,-0.0040,-0.0120,0.9952,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
34,-0.0600,-0.0200,-0.3200,-0.0056,-0.0152,0.9952,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
35,0.0800,0.1000,-0.1200,-0.0072,-0.0160,0.9960,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
36,0.0200,0.0600,0.0600,-0.0072,-0.0144,0.9920,-29.5000,-254.5000,-205.0000,-0.8075,0.4010,154.9533
37,0.1400,-0.2400,-0.0400,-0.0056,-0.0152,0.9912,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
38,0.0800,0.0000,-0.1600,-0.0048,-0.0152,0.9920,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
39,-0.1400,-0.1600,-0.3000,-0.0048,-0.0144,0.9920,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
40,0.0200,-0.0200,-0.0800,-0.0024,-0.0144,0.9920,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
41,0.0600,-0.1400,0.0000,-0.0056,-0.0144,0.9928,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
42,-0.0800,0.1400,-0.0200,-0.0064,-0.0152,0.9912,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
43,0.0000,0.2400,-0.3800,-0.0072,-0.0144,0.9920,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9533
44,-0.1200,-0.0200,-0.2600,-0.0072,-0.0144,0.9928,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
45,-0.2000,-0.0200,-0.2000,-0.0064,-0.0144,0.9936,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
46,-0.1200,0.0800,-0.4600,-0.0072,-0.0144,0.9928,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
47,-0.1400,-0.1000,-0.3400,-0.0064,-0.0136,0.9952,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
48,-0.1000,0.1200,-0.2200,-0.0072,-0.0128,0.9944,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
49,-0.1400,-0.1600,-0.2600,-0.0072,-0.0120,0.9920,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
